set_id,task,category,phrase,succ_pct,is_best,set_gap_pp,max_z,n_each
carrot_on_keyboard|carrot_on_keyboard_clean,carrot_on_keyboard,destination noun,place the carrot on the keyboard keys,25.0,True,18.1,2.97,72
carrot_on_keyboard|carrot_on_keyboard_clean,carrot_on_keyboard,destination noun,put the carrot on the black keyboard,25.0,True,18.1,2.97,72
carrot_on_keyboard|carrot_on_keyboard_clean,carrot_on_keyboard,destination noun,put the carrot on the keys,6.9,False,18.1,2.97,72
carrot_on_ramekin|A06_prep_in_inside,carrot_on_ramekin,preposition,Place the carrot inside the ramekin.,40.3,True,19.5,2.54,72
carrot_on_ramekin|A06_prep_in_inside,carrot_on_ramekin,preposition,Place the carrot in the ramekin.,20.8,False,19.5,2.54,72
carrot_on_ramekin|A16_noun_vegetable_carrot,carrot_on_ramekin,source noun,Pick up the orange carrot and place it in the white bowl.,47.2,True,37.5,4.99,72
carrot_on_ramekin|A16_noun_vegetable_carrot,carrot_on_ramekin,source noun,Pick up the orange vegetable and place it in the white bowl.,9.7,False,37.5,4.99,72
carrot_on_wheel|carrot_on_wheel_clean,carrot_on_wheel,destination noun,put the carrot on the black wheel,30.6,True,25.0,3.9,72
carrot_on_wheel|carrot_on_wheel_clean,carrot_on_wheel,destination noun,put the carrot on the wheel,12.5,False,25.0,3.9,72
carrot_on_wheel|carrot_on_wheel_clean,carrot_on_wheel,destination noun,put the carrot on the tire,5.6,False,25.0,3.9,72
carrot_on_wheel|carrot_on_wheel_clean,carrot_on_wheel,destination noun,put the carrot on the rim,5.6,False,25.0,3.9,72
coke_can_on_keyboard|A15_noun_can_cylinder,coke_can_on_keyboard,source noun,Put the red soda cylinder on top of the black keyboard.,45.8,True,41.6,5.76,72
coke_can_on_keyboard|A15_noun_can_cylinder,coke_can_on_keyboard,source noun,Put the red soda can on top of the black keyboard.,4.2,False,41.6,5.76,72
coke_can_on_keyboard|Rn1_can_coke,coke_can_on_keyboard,source noun,set the coke on top of the keyboard,31.9,True,31.9,5.23,72
coke_can_on_keyboard|Rn1_can_coke,coke_can_on_keyboard,source noun,set the can on top of the keyboard,0.0,False,31.9,5.23,72
coke_can_on_plate|A17_noun_dish_plate,coke_can_on_plate,destination noun,put the coke can on the plate,61.1,True,19.4,2.33,72
coke_can_on_plate|A17_noun_dish_plate,coke_can_on_plate,destination noun,put the coke can on the dish,41.7,False,19.4,2.33,72
coke_can_on_plate|coke_can_on_plate_clean,coke_can_on_plate,destination noun,put the coke on the plate,66.7,True,32.0,3.84,72
coke_can_on_plate|coke_can_on_plate_clean,coke_can_on_plate,destination noun,put the coke can on the plate,61.1,False,32.0,3.84,72
