set_id,task,category,edit_class,phrase,succ_pct,is_best,set_gap_pp,min_p,finetune,n_each
libero_90/10|preposition/particle,libero_90/10,preposition,preposition/particle,place the black bowl on top of the cabinet,100,True,40,5.73303143758389e-07,out,50
libero_90/10|preposition/particle,libero_90/10,preposition,preposition/particle,place the black bowl up onto the cabinet,60,False,40,5.73303143758389e-07,out,50
libero_90/30|noun/other,libero_90/30,noun,noun/other,put the black bowl on the plate,76,True,56,2.0887461564166822e-08,out,50
libero_90/30|noun/other,libero_90/30,noun,noun/other,put the black bowl on the dish,20,False,56,2.0887461564166822e-08,out,50
libero_90/31|color,libero_90/31,color/modifier,color,put the bowl on top of the cabinet,36,True,26,0.0020075373642006,out,50
libero_90/31|color,libero_90/31,color/modifier,color,put the black bowl on top of the cabinet,16,False,26,0.0020075373642006,out,50
libero_90/31|color,libero_90/31,color/modifier,color,put the grey bowl on top of the cabinet,10,False,26,0.0020075373642006,out,50
libero_90/38|verb/frame,libero_90/38,verb,verb/frame,pick up the right moka pot and place it on the stove,54,True,20,0.043951043799389,out,50
libero_90/38|verb/frame,libero_90/38,verb,verb/frame,lift the right moka pot and place it on the stove,34,False,20,0.043951043799389,out,50
libero_90/44|verb/frame,libero_90/44,verb,verb/frame,fire up the stove,100,True,94,4.643112502126461e-21,out,50
libero_90/44|verb/frame,libero_90/44,verb,verb/frame,ignite the stove,100,True,94,4.643112502126461e-21,out,50
libero_90/44|verb/frame,libero_90/44,verb,verb/frame,power on the stove,100,True,94,4.643112502126461e-21,out,50
libero_90/44|verb/frame,libero_90/44,verb,verb/frame,start the stove,100,True,94,4.643112502126461e-21,out,50
libero_90/44|verb/frame,libero_90/44,verb,verb/frame,switch on the stove,100,True,94,4.643112502126461e-21,out,50
libero_90/44|verb/frame,libero_90/44,verb,verb/frame,turn on the stove,6,False,94,4.643112502126461e-21,out,50
libero_goal/1|noun/other,libero_goal/1,noun,noun/other,place the grey bowl on the electric burner,92,True,92,2.7168988386070504e-20,in,50
libero_goal/1|noun/other,libero_goal/1,noun,noun/other,place the grey bowl on the hotplate,18,False,92,2.7168988386070504e-20,in,50
libero_goal/1|noun/other,libero_goal/1,noun,noun/other,place the grey bowl on the electric hot plate,0,False,92,2.7168988386070504e-20,in,50
